age;player_height;player_weight;college;country;draft_year;draft_round
31;193.04;86.18248;Florida;USA;1988;2
24;177.8;68.945984;UCLA;USA;1995;2
29;205.74;111.13004;Xavier;USA;1990;1
36;205.74;113.398;DePaul;USA;1982;1
27;180.34;81.64656;Oregon;USA;1991;1
33;218.44;117.93392;None;USA;Undrafted;Undrafted
25;187.96;94.347136;Arizona State;USA;Undrafted;Undrafted
28;203.2;97.52228;Michigan State;USA;1991;1
29;205.74;113.398;Purdue;USA;1990;2
23;190.5;88.45044;Santa Clara;Canada;1996;1
31;190.5;81.64656;Arizona;USA;1988;2
23;213.36;111.13004;Tennessee;USA;1996;2
20;187.96;81.64656;Georgia Tech;USA;1996;1
26;205.74;111.13004;DePaul;USA;Undrafted;Undrafted
26;198.12;88.45044;Auburn;USA;1994;1
31;213.36;108.86208;Vanderbilt;USA;1988;1
30;203.2;90.7184;Georgia;USA;1988;1
29;203.2;95.25432;Minnesota;USA;1990;1
34;198.12;102.0582;DePaul;USA;1985;2
25;193.04;86.18248;Seton Hall;USA;1993;1
29;208.28;113.398;Michigan;USA;1990;1
34;190.5;88.45044;Wisconsin-Stevens Point;USA;1985;1
24;208.28;102.0582;Wyoming;USA;1995;1
30;182.88;88.45044;Texas-El Paso;USA;1989;1
33;208.28;111.13004;Notre Dame;USA;1986;6
30;193.04;90.7184;La Salle;USA;Undrafted;Undrafted
27;198.12;85.275296;Arkansas;USA;1992;1
22;210.82;115.66596;North Carolina State;USA;1996;1
38;208.28;99.79024;Utah;USA;1981;1
27;213.36;131.54168;Louisiana State;USA;1991;1
27;208.28;108.86208;North Carolina State;USA;1992;1
28;210.82;105.233344;None;Croatia;1990;2
23;187.96;85.728888;Kentucky;USA;1996;1
24;198.12;86.18248;Missouri-Kansas City;USA;1994;1
29;205.74;113.398;Maryland;USA;1990;2
29;193.04;92.98636;Marquette;USA;1990;2
31;193.04;90.7184;Tulsa;USA;Undrafted;Undrafted
25;200.66;103.418976;UCLA;USA;1992;1
24;180.34;82.553744;Georgia Tech;USA;1995;1
27;213.36;111.13004;None;USA;1991;2
24;213.36;120.20188;George Washington;USA;1994;1
34;200.66;98.883056;Wichita State;USA;1985;1
30;205.74;102.0582;Georgia Tech;USA;1989;1
30;210.82;113.398;Oklahoma;USA;1989;1
28;203.2;92.98636;Nevada-Las Vegas;USA;1991;1
30;185.42;88.45044;Syracuse;USA;1989;2
26;200.66;115.66596;Wake Forest;USA;1993;1
30;190.5;83.91452;DePaul;USA;1988;1
26;210.82;113.398;St. John's (NY);USA;1992;2
43;215.9;110.676448;Centenary (LA);USA;1976;1
28;187.96;86.18248;Southern California;USA;Undrafted;Undrafted
26;208.28;99.79024;Alabama;USA;1992;1
30;223.52;120.20188;Marist;USA;1988;1
37;193.04;97.52228;Rice;USA;1982;1
38;208.28;117.93392;Hampton;USA;1980;2
27;200.66;112.944408;North Carolina;Canada;1991;1
27;210.82;111.13004;Washington;USA;1993;2
33;198.12;97.975872;Miami (OH);USA;1986;1
27;193.04;86.18248;Kansas;USA;1993;1
33;201;86;Georgetown;USA;1987;1
26;200.66;97.52228;Wyoming;USA;Undrafted;Undrafted
31;200.66;83.91452;UCLA;USA;1987;1
29;193.04;88.45044;New Mexico State;USA;Undrafted;Undrafted
23;187.96;84.821704;Arizona;USA;1996;2
24;205.74;101.604608;Arizona;USA;Undrafted;Undrafted
21;195.58;92.98636;Connecticut;USA;1996;1
22;210.82;102.0582;North Carolina;USA;1995;1
22;193.04;94.800728;Louisiana State;USA;1996;2
29;187.96;86.18248;New Mexico State;USA;1991;2
24;187.96;85.275296;Wake Forest;USA;1995;1
29;193.04;88.45044;Kentucky;USA;1988;1
